,input_ids,intent
0,"[101, 7910, 7382, 2066, 16215, 3694, 3420, 2395, 3420, 8840, 2140, 1046, 2243, 14566, 2072, 102]",2
1,"[101, 1046, 25856, 2079, 19140, 16078, 1038, 20717, 2050, 14590, 4632, 102]",2
2,"[101, 4487, 9284, 7743, 102]",2
3,"[101, 4365, 3298, 3611, 2250, 6873, 2051, 2821, 2092, 4687, 15966, 102]",2
5,"[101, 5292, 3270, 2050, 2995, 2453, 24707, 3619, 3370, 2292, 2131, 3612, 10288, 2066, 6638, 3306, 21981, 102]",2
6,"[101, 4365, 27273, 2568, 23616, 102]",2
7,"[101, 18168, 2290, 11891, 102]",2
8,"[101, 2071, 3087, 5299, 2282, 2071, 21741, 2154, 2052, 5454, 2052, 17153, 102]",2
9,"[101, 26114, 11573, 4364, 25935, 5292, 3270, 102]",2
10,"[101, 2928, 8038, 5980, 2132, 2214, 2158, 102]",2
11,"[101, 1044, 2299, 11891, 4203, 21270, 19237, 3835, 3861, 3773, 24471, 3096, 3504, 2204, 102]",2
12,"[101, 5223, 1057, 2066, 12973, 6077, 5223, 2111, 11225, 11895, 2015, 2210, 9573, 2072, 102]",2
13,"[101, 2672, 2428, 4078, 4842, 102]",2
14,"[101, 13980, 2102, 2518, 2123, 102]",2
15,"[101, 2040, 9541, 16769, 7743, 102]",7
16,"[101, 6616, 1057, 24471, 2220, 25437, 9981, 7374, 9857, 16137, 2232, 10047, 2746, 13703, 2489, 12887, 16137, 2232, 102]",2
17,"[101, 4485, 11891, 102]",2
18,"[101, 2589, 2242, 2919, 2651, 102]",2
19,"[101, 7632, 2171, 4080, 2215, 6616, 14332, 7570, 102]",2
20,"[101, 4365, 4365, 4365, 9389, 102]",2
21,"[101, 26478, 8609, 2015, 10670, 4012, 13354, 6510, 11891, 102]",2
22,"[101, 4283, 2190, 6616, 3612, 4569, 3666, 2111, 7540, 3256, 2295, 102]",2
24,"[101, 10587, 3595, 4203, 2130, 2113, 2071, 3857, 4299, 9863, 11943, 2369, 7774, 10916, 2113, 102]",2
25,"[101, 1051, 3501, 5667, 3791, 2131, 2362, 19902, 7743, 2295, 3236, 102]",2
26,"[101, 2197, 1056, 28394, 2102, 4011, 4365, 10474, 13355, 2594, 7514, 2291, 102]",2
