,sentence,intent
0,someone vetaken piece shit volcano,No Hate
1,oh noes tough shit,Hate
2,lol throwing bullshit flag nonsense url,Hate
3,da fuck going people men room women room pick one stick w,Hate
4,fuck,Hate
5,prison system fucked still getting away potentially murder intent prisoners die hurricane louisiana like inmates went miss,No Hate
6,fuck em,Hate
7,get damn haters deleting ig reason url,Hate
8,sjshsj thats job bitch,Hate
9,dumbass,Hate
10,point time think pres trump gives shit neither lol url,No Hate
11,bullshit regulations good keeps conservatives striping land abyss,No Hate
12,fuck,Hate
13,yeah need made bullshit protestors antifa lol time epic beatdown,Hate
14,way move haiti liberals seem make shit holes large cities go somewhere already shit hole work,No Hate
15,way move haiti liberals seem make shit holes large cities go somewhere already shit hole work,Hate
16,pussy grabbing one wearing gloves handling food url,No Hate
17,may forgotten moment eu citizens rights afforded us eu citizens believe shit goes head,No Hate
18,looked work history listed board leading age services aust lasa comes medicare local alliance ever hel,No Hate
19,cause bitches playing god aint give gift noth,Hate
20,coming man threatened try kick turmps ass take set bal,No Hate
21,bitch url,Hate
22,yea bitch right getting smacked url,Hate
23,bro go watch hold backwood interview like shit irritating lmao nigga mad suspici,No Hate
24,bro go watch hold backwood interview like shit irritating lmao nigga mad suspici,No Hate
25,bitch built like could beat ass wants url,Hate
26,bitch built like could beat ass wants url,No Hate
27,fuck game watch,No Hate
28,go anything fucked head,Hate
29,fuck liberals forev,Hate
30,mxm nigger thinks give fuck url,Hate
31,mxm nigger thinks give fuck url,No Hate
32,insanely ridiculous bullshit,Hate
33,surprised pigs worked neonazis unmask antifa protestors local coverage shit journos like cover rely investigative coverage url,Hate
34,election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victori,Hate
35,election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victori,Hate
36,election season trump dick magnificent dick tremendous leftists prove russian puppet trump whips dick fit senility conservatives vote trump victori,Hate
37,hell boycott mcenroe much,No Hate
38,im going hardcore bitch,Hate
39,used signifing monkey heart played wife like hel,No Hate
40,charts overall fuck cardi got ways go catch niki,Hate
41,bullshit,Hate
42,feel pretty fucked cuz started fin,No Hate
43,snowballs chance hell dimwit dem start taking losing like man err like uhm whatever identify today tired see november stop,No Hate
44,stoned wheat crackers hell put stoned wheat crack,No Hate
45,cbs sez ceo leslie moonves ass several allegations chasing ass coo joseph iannello interim ceo somebody accuses thing shit never ends ooop,Hate
46,cbs sez ceo leslie moonves ass several allegations chasing ass coo joseph iannello interim ceo somebody accuses thing shit never ends ooop,No Hate
47,cbs sez ceo leslie moonves ass several allegations chasing ass coo joseph iannello interim ceo somebody accuses thing shit never ends ooop,No Hate
48,tweet lol needa get twitter shit,No Hate
49,haul fat ass harms way druggi,Hate
50,cool blind idiot god concept already real thing religion thousands years old peopl ehave make fucking cthulhu reference retard cr,No Hate
51,rezz dumb bitch get rude awakening bnf mexico lol url,Hate
52,another dumbass democrat one thing say president lazy another bullshit story usu,Hate
53,another dumbass democrat one thing say president lazy another bullshit story usu,Hate
54,moves forward damn facts long keep narrative dangerous line sliding scale line bunch liberal idiots use vilify conservatives justify actions liber,No Hate
55,clearly agitated defensive stance shit,Hate
56,better shit better anyth,No Hate
57,damn would able eat pussi,No Hate
58,damn would able eat pussi,Hate
59,queen rap bitches knot rel,Hate
60,would worse licking ass,Hate
61,bitch,Hate
62,jamie oliver fucks meal deals tesco kill cunt,Hate
